
Unitatea: S.C. SIMLEU SHOES S.R.L., Oradea, Calea Borsului 23 W
          J05/3032518/23/11/2021, C.U.I. 12345678
Punct de lucru: Simleu Silvaniei, Simion Barnutiu, Nr. 29  |  Magazia

                             FISA DE MAGAZIE
-------------------------------------------------------------------------------
Cod: [0]
Categorie: A
Material: B C
U.M.: MP
------------------------------------------------------------------------------ 
   Data     Felul si Numarul      Intrari     Iesiri      Stoc       Semnatura 
              Documentului                                           de control
-------------------------------------------------------------------------------
     -    |          -         |     -     |     -     |          0|           
01.01.2023|DOCU                |      15.00|           |      15.00|           
01.01.2023|DOCU                |      10.00|           |      25.00|           
 dfdsafdsa|DOCU                |      15.00|           |      40.00|           
 dfdsafdsa|DOCU                |      10.00|           |      50.00|           
       434|FDSAFD              |           |      50.00|       0.00|           
        10|10                  |     100.00|           |     100.00|           
        11|11                  |           |     100.00|       0.00|           
        xx|XX                  |     100.00|           |     100.00|           
        XX|XX                  |           |     100.00|       0.00|           
        aa|AA                  |     100.00|           |     100.00|           
